provider_id,name,owner,categories,geographic_scope,docs_url,api_base_url,signup_url,auth_type,key_env_var,license_url,terms_url,notes
alphavantage,Alpha Vantage,Alpha Vantage,"finance, stocks, forex, crypto",global,https://www.alphavantage.co/documentation/,https://www.alphavantage.co/query,https://www.alphavantage.co/support/#api-key,api_key_required,ALPHAVANTAGE_API_KEY,,,
binance_public,Binance Public Market Data,Binance,"finance, crypto, market_data",global,https://developers.binance.com/docs/binance-spot-api-docs/rest-api,https://api.binance.com,,no_key_for_public_market_data,,,,
copernicus_cds,Copernicus Climate Data Store API,Copernicus Climate Change Service / ECMWF,"climate, reanalysis, weather",global/europe,https://cds.climate.copernicus.eu/how-to-api,https://cds.climate.copernicus.eu/api,https://cds.climate.copernicus.eu/,account_key_required,CDSAPI_KEY,,,
copernicus_dataspace,Copernicus Data Space Ecosystem,European Union / ESA,"satellite, sentinel, earth_observation",global/europe,https://documentation.dataspace.copernicus.eu/APIs.html,https://catalogue.dataspace.copernicus.eu/odata/v1,https://dataspace.copernicus.eu/,oauth2_or_account,COPERNICUS_DATASPACE_TOKEN,,,
copernicus_marine,Copernicus Marine Service,Copernicus Marine,"ocean, marine, forecast, reanalysis",global/europe,https://help.marine.copernicus.eu/en/articles/4794731-which-apis-are-provided,https://data.marine.copernicus.eu/,https://data.marine.copernicus.eu/register,account_required,COPERNICUS_MARINE_USERNAME,,,
ecmwf_open_data,ECMWF Open Data,European Centre for Medium-Range Weather Forecasts,"weather, forecast, model",global/europe,https://www.ecmwf.int/en/forecasts/datasets/open-data,https://data.ecmwf.int/forecasts/,,no_key_for_open_data,,,,
eia_open_data,EIA Open Data API,U.S. Energy Information Administration,"energy, economics, commodities",us/global,https://www.eia.gov/opendata/documentation.php,https://api.eia.gov/v2,https://www.eia.gov/opendata/register.php,api_key_required,EIA_API_KEY,,,
fred,FRED API,Federal Reserve Bank of St. Louis,"economics, finance, macro",us/global,https://fred.stlouisfed.org/docs/api/fred/,https://api.stlouisfed.org/fred,https://fred.stlouisfed.org/docs/api/api_key.html,api_key_required,FRED_API_KEY,,,
gebco,GEBCO,General Bathymetric Chart of the Oceans,"bathymetry, ocean, terrain",global,https://www.gebco.net/data_and_products/gridded_bathymetry_data/,https://www.gebco.net/data_and_products/gridded_bathymetry_data/,,no_key_for_download_pages,,,,Catalog only; do not bulk download grids unless storage is planned.
geonames,GeoNames Web Services,GeoNames,"geocoding, geography, places",global,https://www.geonames.org/export/ws-overview.html,https://api.geonames.org,https://www.geonames.org/login,username_required,GEONAMES_USERNAME,,,
google_earth_engine,Google Earth Engine Data Catalog,Google,"earth_observation, satellite, geospatial, cloud_compute",global,https://developers.google.com/earth-engine/datasets/catalog/,https://earthengine.googleapis.com/,https://code.earthengine.google.com/register,google_cloud_project_oauth_required,GOOGLE_EARTH_ENGINE_TOKEN,,,"Cloud geospatial analysis platform and public Earth science data catalog. Treat as a platform connector; future adapter needs Google OAuth, project registration, quota handling, and export-to-file workflow."
hyg_database,HYG Database,Astronexus,"astronomy, stars, renderer_bridge",celestial,https://codeberg.org/astronexus/hyg,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/v3/hyg_v38.csv.gz,,no_key_for_public_data,,,,Star catalog used by taichi_global_bathymetry.py as a renderer bridge source.
imf_data,IMF Data API,International Monetary Fund,"economics, finance, macro",global,https://data.imf.org/en/Resource-Pages/IMF-API,https://www.imf.org/external/datamapper/api/v1,,no_key_or_mixed,,,,
nasa_earthdata,NASA Earthdata,NASA Earthdata,"satellite, earth_observation, climate, ocean",global,https://www.earthdata.nasa.gov/learn/use-data/data-use-policy/api,https://cmr.earthdata.nasa.gov/search/,https://urs.earthdata.nasa.gov/,account_token_or_login,NASA_EARTHDATA_TOKEN,,,
nasa_open_apis,NASA Open APIs,NASA,"space, satellite, astronomy, earth_observation",global/space,https://api.nasa.gov/,https://api.nasa.gov/,https://api.nasa.gov/,api_key_required,NASA_API_KEY,,,"Includes DEMO_KEY examples, but production use should use a user-owned key."
natural_earth,Natural Earth,Natural Earth,"gis, basemap, vector",global,https://www.naturalearthdata.com/downloads/,https://www.naturalearthdata.com/downloads/,,no_key,,,,
